ID	X_x	Y_x	Z_x	X_y	Y_y	Z_y	Distances	Velocity
32	2628831.139	1104494.383	2873.423	2628831.139	1104494.383	2873.423	0.0	0.0
33	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
34	2628819.183	1104484.722	2865.481	2628819.165	1104484.576	2865.481	0.1471054045877788	0.0210150577982541
35	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
36	2628793.555	1104477.983	2860.044	2628793.808	1104477.784	2860.242	0.3779073960935638	0.0539867708705091
37	2628779.135	1104477.483	2858.045	2628779.135	1104477.483	2858.045	0.0	0.0
77	2628831.139	1104494.383	2873.423	2628831.139	1104494.383	2873.423	0.0	0.0
78	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
79	2628819.165	1104484.576	2865.481	2628819.165	1104484.576	2865.481	0.0	0.0
80	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
81	2628793.555	1104477.983	2860.044	2628793.555	1104477.983	2860.044	0.0	0.0
108	2628948.442	1104647.991	2848.028	2628948.442	1104647.991	2848.028	0.0	0.0
123	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
124	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
125	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
126	2628793.555	1104477.983	2860.044	2628793.555	1104477.983	2860.044	0.0	0.0
127	2628771.838	1104477.648	2857.498	2628771.838	1104477.648	2857.498	0.0	0.0
153	2628927.005	1104642.997	2843.42	2628927.105	1104643.475	2843.472	0.4911089493509607	0.0701584213358515
154	2628946.727	1104636.238	2852.764	2628946.727	1104636.238	2852.764	0.0	0.0
167	2628831.139	1104494.383	2873.423	2628831.139	1104494.383	2873.423	0.0	0.0
168	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
169	2628819.165	1104484.576	2865.481	2628819.165	1104484.576	2865.481	0.0	0.0
170	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
171	2628793.555	1104477.983	2860.044	2628793.808	1104477.784	2860.242	0.3779073960935638	0.0539867708705091
198	2628921.356	1104638.439	2843.15	2628920.28	1104638.27	2842.537	1.2498423903644975	0.1785489129092139
199	2628947.137	1104636.746	2853.113	2628947.137	1104636.746	2853.113	0.0	0.0
200	2628945.756	1104620.98	2855.557	2628945.756	1104620.98	2855.557	0.0	0.0
213	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
214	2628819.165	1104484.576	2865.481	2628819.165	1104484.576	2865.481	0.0	0.0
215	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
216	2628797.053	1104478.796	2860.862	2628797.053	1104478.796	2860.862	0.0	0.0
217	2628771.838	1104477.648	2857.498	2628771.838	1104477.648	2857.498	0.0	0.0
243	2628948.442	1104647.991	2848.028	2628948.442	1104647.991	2848.028	0.0	0.0
244	2628947.137	1104636.746	2853.113	2628947.137	1104636.746	2853.113	0.0	0.0
245	2628945.756	1104620.98	2855.557	2628945.756	1104620.98	2855.557	0.0	0.0
258	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
259	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
260	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
266	2628759.815	1104466.529	2856.688	2628759.878	1104466.568	2856.676	0.075059976022186	0.0107228537174551
288	2628948.442	1104647.991	2848.028	2628948.442	1104647.991	2848.028	0.0	0.0
289	2628947.137	1104636.746	2853.113	2628947.137	1104636.746	2853.113	0.0	0.0
290	2628945.756	1104620.98	2855.557	2628945.756	1104620.98	2855.557	0.0	0.0
303	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
304	2628819.183	1104484.722	2865.481	2628819.183	1104484.722	2865.481	0.0	0.0
305	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
306	2628792.002	1104479.129	2858.866	2628797.053	1104478.796	2860.862	5.441277974859077	0.7773254249798682
