ID	X_x	Y_x	Z_x	X_y	Y_y	Z_y	Distances	Velocity
32	2628831.139	1104494.383	2873.423	2628831.139	1104494.383	2873.423	0.0	0.0
33	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
34	2628819.183	1104484.722	2865.481	2628819.165	1104484.576	2865.481	0.1471054045877788	0.0210150577982541
35	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
36	2628793.732	1104477.459	2860.448	2628793.18	1104477.106	2860.489	0.6565013326158362	0.0937859046594051
37	2628778.729	1104477.969	2857.809	2628778.729	1104477.969	2857.809	0.0	0.0
77	2628830.941	1104494.258	2873.347	2628830.732	1104494.22	2873.283	0.2218580629731763	0.031694008996168
78	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
79	2628827.43	1104480.792	2867.632	2628827.494	1104480.335	2868.401	0.8968310877270267	0.1281187268181466
80	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
108	2628948.442	1104647.991	2848.028	2628949.003	1104647.314	2847.973	0.8809511905452025	0.125850170077886
123	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
124	2628829.388	1104492.677	2872.272	2628819.472	1104485.576	2865.622	13.8914994509268	1.9844999215609715
125	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
126	2628793.656	1104477.603	2860.338	2628793.732	1104477.459	2860.448	0.196499363715336	0.0280713376736194
153	2628927.105	1104643.475	2843.472	2628927.105	1104643.475	2843.472	0.0	0.0
154	2628944.995	1104630.902	2852.202	2628944.995	1104630.902	2852.202	0.0	0.0
167	2628831.139	1104494.383	2873.423	2628831.139	1104494.383	2873.423	0.0	0.0
168	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
169	2628827.679	1104480.88	2867.538	2628827.303	1104480.697	2867.581	0.4203736434518182	0.060053377635974
170	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
171	2628793.18	1104477.106	2860.489	2628795.559	1104475.984	2861.531	2.829185218155514	0.4041693168793591
198	2628920.175	1104638.0	2842.523	2628921.356	1104638.439	2843.15	1.4073418208788195	0.201048831554117
199	2628946.727	1104636.238	2852.764	2628947.137	1104636.746	2853.113	0.7402465807225909	0.1057495115317986
213	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
214	2628819.165	1104484.576	2865.481	2628819.165	1104484.576	2865.481	0.0	0.0
215	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
216	2628797.053	1104478.796	2860.862	2628797.053	1104478.796	2860.862	0.0	0.0
217	2628771.838	1104477.648	2857.498	2628771.838	1104477.648	2857.498	0.0	0.0
243	2628948.442	1104647.991	2848.028	2628925.468	1104636.55	2844.849	25.86130696608139	3.694472423725913
244	2628947.137	1104636.746	2853.113	2628947.137	1104636.746	2853.113	0.0	0.0
245	2628945.756	1104620.98	2855.557	2628945.756	1104620.98	2855.557	0.0	0.0
258	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
259	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
260	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
288	2628925.468	1104636.55	2844.849	2628925.468	1104636.55	2844.849	0.0	0.0
289	2628947.137	1104636.746	2853.113	2628947.137	1104636.746	2853.113	0.0	0.0
290	2628945.756	1104620.98	2855.557	2628945.756	1104620.98	2855.557	0.0	0.0
303	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
304	2628819.165	1104484.576	2865.481	2628819.165	1104484.576	2865.481	0.0	0.0
305	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
306	2628797.053	1104478.796	2860.862	2628797.053	1104478.796	2860.862	0.0	0.0
309	2628765.161	1104472.504	2856.126	2628765.161	1104472.504	2856.126	0.0	0.0
310	2628758.359	1104470.939	2853.308	2628758.793	1104470.771	2853.692	0.6033539590717186	0.0861934227245312
333	2628948.442	1104647.991	2848.028	2628948.442	1104647.991	2848.028	0.0	0.0
