ID	X_x	Y_x	Z_x	X_y	Y_y	Z_y	Distances	Velocity
31	2628831.139	1104494.383	2873.423	2628831.139	1104494.383	2873.423	0.0	0.0
32	2628830.732	1104494.22	2873.283	2628830.732	1104494.22	2873.283	0.0	0.0
33	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
34	2628819.165	1104484.576	2865.481	2628819.165	1104484.576	2865.481	0.0	0.0
35	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
36	2628795.559	1104475.984	2861.531	2628779.094	1104478.24	2857.717	17.050875549229936	2.435839364175705
37	2628779.135	1104477.483	2858.045	2628779.135	1104477.483	2858.045	0.0	0.0
77	2628830.732	1104494.22	2873.283	2628830.732	1104494.22	2873.283	0.0	0.0
78	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
79	2628827.443	1104479.21	2869.241	2628827.443	1104479.21	2869.241	0.0	0.0
80	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
108	2628925.468	1104636.55	2844.849	2628925.468	1104636.55	2844.849	0.0	0.0
123	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
124	2628819.165	1104484.576	2865.481	2628819.165	1104484.576	2865.481	0.0	0.0
125	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
126	2628793.18	1104477.106	2860.489	2628793.18	1104477.106	2860.489	0.0	0.0
154	2628945.561	1104630.898	2852.563	2628945.561	1104630.898	2852.563	0.0	0.0
167	2628830.941	1104494.258	2873.347	2628830.941	1104494.258	2873.347	0.0	0.0
168	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
169	2628827.418	1104480.253	2868.51	2628827.443	1104479.21	2869.241	1.2739054125511475	0.1819864875073067
170	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
171	2628779.094	1104478.24	2857.717	2628779.094	1104478.24	2857.717	0.0	0.0
198	2628948.442	1104647.991	2848.028	2628920.966	1104638.032	2843.107	29.636607396751156	4.233801056678736
199	2628945.379	1104631.561	2851.988	2628946.727	1104636.238	2852.764	4.928854734977892	0.7041221049968417
213	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
214	2628827.505	1104480.952	2867.328	2628827.505	1104480.952	2867.328	0.0	0.0
215	2628797.404	1104479.672	2860.93	2628796.997	1104479.543	2861.01	0.434384622298116	0.062054946042588
216	2628797.053	1104478.796	2860.862	2628797.053	1104478.796	2860.862	0.0	0.0
217	2628771.838	1104477.648	2857.498	2628771.838	1104477.648	2857.498	0.0	0.0
243	2628925.468	1104636.55	2844.849	2628925.468	1104636.55	2844.849	0.0	0.0
244	2628947.137	1104636.746	2853.113	2628947.137	1104636.746	2853.113	0.0	0.0
245	2628945.756	1104620.98	2855.557	2628945.756	1104620.98	2855.557	0.0	0.0
258	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
259	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
260	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
261	2628779.094	1104478.24	2857.717	2628779.094	1104478.24	2857.717	0.0	0.0
288	2628925.468	1104636.55	2844.849	2628925.468	1104636.55	2844.849	0.0	0.0
289	2628947.137	1104636.746	2853.113	2628947.137	1104636.746	2853.113	0.0	0.0
290	2628945.756	1104620.98	2855.557	2628945.756	1104620.98	2855.557	0.0	0.0
