ID	X_x	Y_x	Z_x	X_y	Y_y	Z_y	Distances	Velocity
32	2628831.139	1104494.383	2873.423	2628831.139	1104494.383	2873.423	0.0	0.0
33	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
34	2628819.183	1104484.722	2865.481	2628819.183	1104484.722	2865.481	0.0	0.0
35	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
36	2628793.656	1104477.603	2860.338	2628793.732	1104477.459	2860.448	0.196499363715336	0.0280713376736194
37	2628778.729	1104477.969	2857.809	2628778.729	1104477.969	2857.809	0.0	0.0
77	2628831.139	1104494.383	2873.423	2628830.941	1104494.258	2873.347	0.2461808277341597	0.0351686896763085
78	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
79	2628827.505	1104480.952	2867.328	2628827.43	1104480.792	2867.632	0.3516262220111397	0.0502323174301628
80	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
108	2628948.442	1104647.991	2848.028	2628948.442	1104647.991	2848.028	0.0	0.0
123	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
124	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
125	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
126	2628793.808	1104477.784	2860.242	2628793.656	1104477.603	2860.338	0.2551097805006389	0.0364442543572341
127	2628771.838	1104477.648	2857.498	2628771.838	1104477.648	2857.498	0.0	0.0
153	2628927.105	1104643.475	2843.472	2628927.105	1104643.475	2843.472	0.0	0.0
154	2628945.379	1104631.561	2851.988	2628944.995	1104630.902	2852.202	0.7921698050548326	0.1131671150078332
167	2628831.139	1104494.383	2873.423	2628831.139	1104494.383	2873.423	0.0	0.0
168	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
169	2628828.004	1104481.241	2867.042	2628827.679	1104480.88	2867.538	0.6942348306915843	0.099176404384512
170	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
171	2628793.521	1104477.291	2860.506	2628793.18	1104477.106	2860.489	0.3883233189377532	0.0554747598482504
198	2628920.28	1104638.27	2842.537	2628920.175	1104638.0	2842.523	0.2900362046471741	0.0414337435210248
199	2628946.727	1104636.238	2852.764	2628946.727	1104636.238	2852.764	0.0	0.0
213	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
214	2628819.165	1104484.576	2865.481	2628819.165	1104484.576	2865.481	0.0	0.0
215	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
216	2628797.053	1104478.796	2860.862	2628797.053	1104478.796	2860.862	0.0	0.0
217	2628771.838	1104477.648	2857.498	2628771.838	1104477.648	2857.498	0.0	0.0
243	2628948.442	1104647.991	2848.028	2628948.442	1104647.991	2848.028	0.0	0.0
244	2628947.137	1104636.746	2853.113	2628947.137	1104636.746	2853.113	0.0	0.0
245	2628945.756	1104620.98	2855.557	2628945.756	1104620.98	2855.557	0.0	0.0
258	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
259	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
260	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
288	2628948.442	1104647.991	2848.028	2628925.468	1104636.55	2844.849	25.86130696608139	3.694472423725913
289	2628947.137	1104636.746	2853.113	2628947.137	1104636.746	2853.113	0.0	0.0
290	2628945.756	1104620.98	2855.557	2628945.756	1104620.98	2855.557	0.0	0.0
303	2628829.388	1104492.677	2872.272	2628829.388	1104492.677	2872.272	0.0	0.0
304	2628819.165	1104484.576	2865.481	2628819.165	1104484.576	2865.481	0.0	0.0
305	2628797.404	1104479.672	2860.93	2628797.404	1104479.672	2860.93	0.0	0.0
306	2628797.053	1104478.796	2860.862	2628797.053	1104478.796	2860.862	0.0	0.0
309	2628765.161	1104472.504	2856.126	2628765.161	1104472.504	2856.126	0.0	0.0
310	2628758.352	1104470.853	2853.405	2628758.359	1104470.939	2853.308	0.1298229564632182	0.0185461366376026
333	2628948.442	1104647.991	2848.028	2628948.442	1104647.991	2848.028	0.0	0.0
