ID	X_x	Y_x	Z_x	X_y	Y_y	Z_y	Distances	Velocity
481	2628815.501	1104504.11	2861.379	2628815.501	1104504.11	2861.379	0.0	0.0
482	2628807.984	1104498.576	2858.688	2628808.049	1104498.536	2858.835	0.1656321224191437	0.0236617317741633
524	2628827.11	1104516.706	2861.052	2628828.09	1104516.838	2861.53	1.0983205360727482	0.1569029337246783
525	2628816.348	1104510.171	2857.105	2628816.348	1104510.171	2857.105	0.0	0.0
526	2628801.9	1104505.337	2852.406	2628801.725	1104505.41	2852.245	0.2487468591041065	0.0355352655863009
568	2628829.827	1104524.165	2857.173	2628829.491	1104524.032	2857.083	0.3724043503024654	0.0532006214717807
569	2628812.293	1104517.142	2851.609	2628812.293	1104517.142	2851.609	0.0	0.0
570	2628807.751	1104510.878	2850.127	2628807.751	1104510.878	2850.127	0.0	0.0
612	2628841.597	1104532.558	2855.566	2628841.597	1104532.558	2855.566	0.0	0.0
613	2628814.147	1104523.421	2847.605	2628814.09	1104523.355	2847.641	0.0943451112547018	0.0134778730363859
614	2628806.063	1104517.101	2845.173	2628806.063	1104517.101	2845.173	0.0	0.0
654	2628865.159	1104558.857	2856.019	2628865.319	1104558.639	2855.923	0.2869494730707814	0.0409927818672544
655	2628863.309	1104550.113	2854.492	2628863.751	1104549.98	2854.388	0.4731479686289112	0.0675925669469873
657	2628819.623	1104530.376	2844.006	2628819.623	1104530.376	2844.006	0.0	0.0
658	2628803.962	1104523.335	2840.164	2628803.962	1104523.335	2840.164	0.0	0.0
659	2628797.197	1104517.428	2838.3	2628797.52	1104517.501	2838.476	0.37501199965849	0.0535731428083557
699	2628864.24	1104559.862	2851.183	2628864.35	1104559.862	2851.392	0.2361800160285482	0.0337400022897926
700	2628855.028	1104549.554	2847.344	2628855.35	1104549.463	2847.409	0.3408665429546875	0.0486952204220982
701	2628820.515	1104537.872	2839.626	2628820.515	1104537.872	2839.626	0.0	0.0
702	2628807.699	1104529.79	2836.663	2628807.848	1104529.745	2836.909	0.291104792223537	0.0415863988890767
703	2628797.822	1104523.617	2833.755	2628797.822	1104523.617	2833.755	0.0	0.0
743	2628862.365	1104569.092	2841.383	2628862.464	1104569.276	2841.385	0.2089521477083029	0.0298503068154718
744	2628854.189	1104558.397	2841.736	2628854.179	1104558.406	2841.895	0.1595681672288693	0.022795452461267
745	2628825.175	1104545.534	2835.126	2628825.052	1104545.36	2835.087	0.2166240981020695	0.030946299728867
746	2628818.16	1104537.71	2834.072	2628818.109	1104537.827	2833.925	0.1946766550404808	0.0278109507200686
747	2628798.521	1104528.952	2829.819	2628798.373	1104528.919	2829.671	0.2118891219879828	0.0302698745697118
787	2628861.265	1104576.745	2837.198	2628868.399	1104579.073	2838.349	7.591991899430707	1.0845702713472438
788	2628850.235	1104565.585	2834.298	2628850.509	1104565.453	2834.521	0.3771326028203865	0.053876086117198
789	2628831.103	1104554.108	2830.412	2628831.103	1104554.108	2830.412	0.0	0.0
790	2628817.772	1104544.177	2829.001	2628817.641	1104544.03	2828.962	0.2007261815973033	0.0286751687996147
791	2628800.956	1104535.609	2825.592	2628800.775	1104535.595	2825.443	0.2348574034397886	0.0335510576342555
792	2628780.215	1104528.443	2822.295	2628775.58	1104528.095	2821.513	4.713369601243566	0.6733385144633666
829	2628870.499	1104608.144	2831.734	2628870.499	1104608.144	2831.734	0.0	0.0
